Gender,Married,Dependents,Education,Self_Employed,Loan_Amount,Credit_History,Property_Area,Loan_Status,TotalIncome,Debt_to_Income_Ratio,Family_Size,Balance_Income,Credit_Risk_Category
Male,Yes,0,Graduate,No,122.0,1,Semiurban,Y,5052.0,24.148851939825814,2,392.75925925925924,Medium Risk
Male,Yes,2,Not Graduate,No,110.0,1,Urban,Y,5266.0,20.888720091150777,4,413.3703703703703,Low Risk
Male,No,0,Not Graduate,No,35.0,1,Urban,N,1442.0,24.271844660194176,1,112.06481481481482,Medium Risk
Female,No,2,Graduate,No,120.0,1,Semiurban,Y,5833.0,20.5726041488085,3,458.30555555555554,Low Risk
Male,Yes,1,Graduate,No,201.0,1,Urban,N,7535.0,26.675514266755144,3,581.3888888888888,Medium Risk
Male,No,0,Graduate,No,74.0,1,Urban,N,3167.0,23.365961477739187,1,246.78703703703707,Low Risk
Male,No,1,Graduate,Yes,106.0,1,Rural,N,4692.0,22.59164535379369,2,366.46296296296293,Low Risk
Male,Yes,0,Graduate,No,114.0,1,Semiurban,Y,5167.0,22.063092703696537,2,404.19444444444446,Low Risk
Male,No,3,Graduate,No,261.5,1,Rural,N,12555.375,20.827733142180143,4,985.7488425925926,Low Risk
Male,Yes,0,Graduate,No,128.0,1,Urban,Y,4342.0,29.47950253339475,2,332.2037037037037,Medium Risk
Male,Yes,0,Graduate,No,100.0,0,Urban,N,3158.0,31.665611146295124,2,240.01851851851853,High Risk
Female,Yes,0,Graduate,No,144.0,1,Semiurban,Y,5126.0,28.092079594225517,2,393.83333333333337,Medium Risk
Male,No,0,Graduate,No,184.0,1,Urban,Y,11376.0,16.17440225035162,1,905.4074074074074,Low Risk
Male,No,0,Not Graduate,No,110.0,1,Semiurban,Y,5416.0,20.310192023633675,1,425.8703703703703,Low Risk
Male,No,0,Graduate,No,80.0,1,Urban,N,3600.0,22.22222222222222,1,281.48148148148147,Low Risk
Male,No,0,Graduate,No,47.0,1,Urban,Y,3013.0,15.599070693660805,1,240.20370370370372,Low Risk
Male,Yes,0,Graduate,No,75.0,1,Urban,Y,2400.0,31.25,2,182.63888888888889,Medium Risk
Male,Yes,0,Graduate,No,134.0,1,Semiurban,Y,6277.0,21.347777600764697,2,492.06481481481484,Low Risk
Male,Yes,0,Not Graduate,Yes,96.0,1,Urban,Y,4695.0,20.447284345047922,2,369.02777777777777,Low Risk
Female,No,0,Graduate,No,88.0,1,Urban,Y,3410.0,25.806451612903224,1,263.7962962962963,Medium Risk
Male,Yes,1,Graduate,No,44.0,1,Urban,Y,5649.0,7.788989201628607,3,460.56481481481484,Low Risk
Male,Yes,0,Graduate,No,144.0,1,Urban,Y,5821.0,24.738017522762412,2,451.75,Medium Risk
Female,Yes,0,Graduate,No,120.0,0,Urban,N,6085.0,19.72062448644207,2,479.30555555555554,High Risk
Female,No,0,Graduate,No,144.0,1,Semiurban,Y,6275.0,22.94820717131474,1,489.5833333333333,Low Risk
Female,Yes,0,Not Graduate,No,100.0,1,Semiurban,Y,3572.0,27.99552071668533,2,274.51851851851853,Medium Risk
Female,No,0,Graduate,No,120.0,1,Semiurban,Y,3086.0,38.8852883992223,1,229.3888888888889,Medium Risk
Female,No,0,Graduate,No,112.0,1,Semiurban,N,4230.0,26.477541371158388,1,326.5740740740741,Medium Risk
Male,Yes,2,Graduate,No,134.0,1,Urban,N,4616.0,29.02946273830156,4,353.64814814814815,Medium Risk
Female,Yes,1,Graduate,Yes,261.5,0,Urban,N,11500.0,22.73913043478261,3,897.800925925926,High Risk
Male,Yes,2,Graduate,No,97.0,1,Semiurban,Y,3875.0,25.032258064516128,4,300.462962962963,Medium Risk
Male,Yes,0,Graduate,No,96.0,1,Semiurban,Y,3723.0,25.785656728444803,2,288.02777777777777,Medium Risk
Male,Yes,0,Graduate,No,135.0,1,Rural,N,5566.0,24.254401724757457,2,432.5833333333333,Medium Risk
Male,Yes,1,Graduate,No,180.0,1,Urban,Y,10330.0,17.424975798644724,3,819.1666666666667,Low Risk
Male,Yes,2,Not Graduate,No,144.0,1,Urban,Y,6216.0,23.166023166023166,4,484.6666666666667,Low Risk
Male,Yes,0,Graduate,No,120.0,1,Urban,Y,6296.0,19.05972045743329,2,496.88888888888886,Low Risk
Male,Yes,3,Graduate,No,99.0,1,Urban,Y,3029.0,32.684054143281614,5,229.5,Medium Risk
Male,Yes,0,Not Graduate,Yes,165.0,0,Rural,N,6058.0,27.23671178606801,2,428.44444444444446,High Risk
Male,Yes,1,Graduate,No,128.0,0,Rural,N,4945.0,25.88473205257836,3,382.4537037037037,High Risk
Female,No,0,Graduate,No,116.0,0,Semiurban,N,4166.0,27.84445511281805,1,320.31481481481484,High Risk
Male,Yes,0,Graduate,No,258.0,1,Semiurban,N,10321.0,24.997577754093598,2,800.3611111111112,Medium Risk
Male,No,0,Not Graduate,No,126.0,0,Urban,N,5454.0,23.102310231023104,1,396.1666666666667,High Risk
Male,Yes,1,Graduate,No,261.5,1,Urban,Y,10750.0,24.325581395348838,3,835.300925925926,Medium Risk
Male,Yes,3,Not Graduate,Yes,125.0,1,Urban,Y,7100.0,17.605633802816904,5,418.05555555555554,Low Risk
Female,No,0,Graduate,No,136.0,0,Semiurban,N,4300.0,31.62790697674419,1,326.85185185185185,High Risk
Male,Yes,0,Graduate,No,172.0,1,Urban,Y,6274.0,27.414727446605035,2,483.01851851851853,Medium Risk
Male,Yes,2,Not Graduate,Yes,97.0,1,Semiurban,Y,3750.0,25.866666666666667,4,290.0462962962963,Medium Risk
Male,No,0,Graduate,No,81.0,1,Semiurban,Y,3500.0,23.142857142857142,1,269.1666666666667,Low Risk
Male,Yes,3,Not Graduate,No,95.0,0,Semiurban,N,4755.0,19.978969505783386,5,374.25925925925924,High Risk
Male,Yes,3,Graduate,Yes,187.0,1,Semiurban,Y,7040.0,26.5625,5,543.3796296296296,Medium Risk
Male,No,0,Graduate,No,113.0,1,Urban,N,3750.0,30.133333333333333,1,292.88194444444446,Medium Risk
Male,No,0,Graduate,No,176.0,1,Urban,N,8500.0,20.705882352941178,1,667.5925925925926,Low Risk
Male,Yes,1,Graduate,Yes,110.0,1,Urban,N,4022.0,27.349577324714073,3,309.7037037037037,Medium Risk
Male,Yes,3,Graduate,No,180.0,0,Semiurban,N,7167.0,25.115110925073253,5,547.25,High Risk
Male,Yes,3,Not Graduate,Yes,130.0,1,Semiurban,Y,5499.0,23.64066193853428,5,428.1574074074074,Low Risk
Female,No,0,Graduate,No,111.0,1,Semiurban,Y,3846.0,28.861154446177846,1,294.80555555555554,Medium Risk
Male,Yes,1,Graduate,Yes,128.0,1,Semiurban,Y,2395.0,53.4446764091858,3,169.95370370370372,Medium Risk
Female,Yes,2,Graduate,No,167.0,1,Urban,N,3259.0,51.2427124884934,4,232.9259259259259,Medium Risk
Male,Yes,0,Graduate,No,261.5,1,Semiurban,N,8250.0,31.696969696969695,2,626.9675925925926,Medium Risk
Male,Yes,1,Graduate,No,50.0,1,Urban,Y,3988.0,12.537612838515546,3,314.97222222222223,Low Risk
Male,No,0,Graduate,No,136.0,1,Semiurban,Y,4897.0,27.77210537063508,1,376.60185185185185,Medium Risk
Male,Yes,2,Not Graduate,No,99.0,1,Semiurban,Y,5333.0,18.5636602287643,4,421.5,Low Risk
Male,Yes,0,Graduate,No,104.0,1,Semiurban,Y,4618.0,22.52057167605024,2,360.75925925925924,Low Risk
Male,No,0,Graduate,No,210.0,1,Urban,Y,8566.0,24.51552650011674,1,665.2222222222223,Medium Risk
Male,Yes,0,Graduate,No,175.0,1,Semiurban,Y,9862.0,17.744879334820524,2,781.3240740740741,Low Risk
Male,Yes,0,Graduate,No,131.0,1,Semiurban,Y,5858.0,22.362581085694778,2,457.8425925925926,Low Risk
Male,Yes,2,Graduate,No,188.0,1,Semiurban,Y,11904.0,15.793010752688172,4,904.9629629629629,Low Risk
Male,Yes,2,Not Graduate,No,81.0,1,Urban,Y,5093.0,15.904182210877675,4,405.6666666666667,Low Risk
Male,No,0,Graduate,No,122.0,1,Semiurban,Y,4133.0,29.518509557222355,1,316.1759259259259,Medium Risk
Male,No,0,Not Graduate,No,25.0,1,Semiurban,Y,3620.0,6.906077348066298,1,284.3055555555556,Low Risk
Male,No,0,Graduate,No,128.0,1,Urban,N,6782.0,18.873488646416988,1,535.537037037037,Low Risk
Female,Yes,0,Graduate,No,137.0,1,Semiurban,Y,4786.0,28.625156707062267,2,367.1203703703703,Medium Risk
Male,Yes,0,Graduate,No,50.0,1,Semiurban,Y,2974.0,16.812373907195695,2,236.25925925925927,Low Risk
Male,Yes,0,Not Graduate,No,115.0,1,Semiurban,Y,4188.0,27.45940783190067,2,295.75925925925924,Medium Risk
Male,Yes,0,Graduate,No,131.0,1,Semiurban,Y,5300.0,24.71698113207547,2,411.3425925925926,Medium Risk
Male,Yes,2,Not Graduate,No,133.0,1,Urban,Y,7551.0,17.61356111773275,4,567.6759259259259,Low Risk
Male,No,0,Graduate,No,151.0,1,Semiurban,Y,8649.0,17.458665741704245,1,685.7962962962963,Low Risk
Male,Yes,0,Graduate,No,128.0,1,Urban,Y,12555.375,10.194836872654143,2,1016.6516203703703,Low Risk
Male,Yes,0,Graduate,No,128.0,1,Semiurban,Y,8235.0,15.543412264723742,2,656.6203703703703,Low Risk
Male,Yes,0,Graduate,No,160.0,1,Urban,Y,4570.0,35.010940919037196,2,343.7962962962963,Medium Risk
Male,Yes,1,Graduate,No,100.0,1,Urban,Y,4082.0,24.497795198432144,3,317.01851851851853,Medium Risk
Male,Yes,2,Graduate,No,225.0,1,Urban,Y,12543.0,17.93829227457546,4,993.1666666666666,Low Risk
Male,No,0,Not Graduate,No,120.0,1,Rural,N,7333.0,16.36438019909996,1,583.3055555555555,Low Risk
Male,Yes,2,Graduate,No,216.0,0,Urban,N,7400.0,29.18918918918919,4,566.6666666666666,High Risk
Male,Yes,3,Not Graduate,No,94.0,1,Semiurban,Y,2825.0,33.27433628318584,5,219.0972222222222,Medium Risk
Male,No,0,Graduate,No,136.0,1,Urban,Y,5316.0,25.583145221971407,1,411.51851851851853,Medium Risk
Female,Yes,0,Graduate,No,139.0,1,Semiurban,Y,5262.0,26.415811478525278,2,406.3240740740741,Medium Risk
Male,Yes,0,Not Graduate,No,152.0,0,Rural,N,7686.0,19.776216497527972,2,605.3148148148148,High Risk
Female,No,1,Graduate,Yes,128.0,1,Semiurban,Y,7451.0,17.17890216078379,2,591.287037037037,Low Risk
Male,No,0,Graduate,No,118.0,1,Semiurban,Y,5050.0,23.366336633663366,1,393.5185185185185,Low Risk
Male,Yes,1,Graduate,No,185.0,1,Rural,Y,12555.375,14.734725167507941,3,960.6331018518518,Low Risk
Female,Yes,0,Graduate,No,154.0,1,Semiurban,Y,5450.0,28.256880733944953,2,418.51851851851853,Medium Risk
Male,Yes,1,Graduate,No,85.0,1,Urban,Y,3612.0,23.53266888150609,3,281.3240740740741,Low Risk
Male,Yes,0,Graduate,No,175.0,1,Rural,N,7710.0,22.69779507133593,2,601.9907407407408,Low Risk
Female,No,0,Graduate,No,259.0,1,Urban,Y,10408.0,24.884704073789393,1,807.3796296296297,Medium Risk
Male,Yes,0,Graduate,No,180.0,1,Rural,Y,8334.0,21.598272138228943,2,652.8333333333334,Low Risk
Female,No,0,Graduate,No,44.0,1,Semiurban,Y,4166.0,10.56168987037926,1,336.9814814814815,Low Risk
Female,No,0,Graduate,No,137.0,0,Semiurban,Y,11117.0,12.323468561662319,1,894.7037037037037,High Risk
Male,Yes,2,Graduate,No,81.0,1,Semiurban,Y,2957.0,27.392627663172135,4,227.66666666666666,Medium Risk
Male,Yes,0,Not Graduate,No,194.0,1,Rural,Y,6314.0,30.72537218878682,2,481.25925925925924,Medium Risk
Female,No,0,Graduate,No,93.0,1,Rural,Y,3692.0,25.189599133261105,1,286.1388888888889,Medium Risk
Male,Yes,3,Graduate,No,261.5,1,Rural,Y,12555.375,20.827733142180143,5,985.7488425925926,Low Risk
Male,No,0,Graduate,No,128.0,1,Rural,Y,5505.0,23.251589464123523,1,429.1203703703704,Low Risk
Male,Yes,1,Graduate,Yes,160.0,0,Urban,N,12555.375,12.743546090817677,3,972.207175925926,High Risk
Male,Yes,0,Graduate,No,182.0,1,Rural,N,8649.0,21.042895132385247,2,678.6203703703703,Low Risk
Male,No,0,Graduate,Yes,261.5,1,Urban,Y,12555.375,20.827733142180143,1,1000.8819444444445,Low Risk
Male,No,0,Graduate,No,74.0,1,Urban,Y,3943.0,18.76743596246513,1,311.4537037037037,Low Risk
Male,No,0,Graduate,No,70.0,1,Semiurban,Y,2718.0,25.754231052244297,1,210.2962962962963,Medium Risk
Male,Yes,0,Graduate,Yes,25.0,1,Semiurban,Y,3459.0,7.227522405319457,2,270.8888888888889,Low Risk
Male,No,0,Graduate,No,102.0,1,Semiurban,Y,4895.0,20.837589376915222,1,384.3055555555556,Low Risk
Male,Yes,3,Graduate,No,261.5,1,Semiurban,N,11750.0,22.25531914893617,5,918.6342592592592,Low Risk
Female,Yes,0,Graduate,No,84.0,1,Rural,N,4583.0,18.3286057167794,2,362.47222222222223,Low Risk
Male,Yes,2,Graduate,Yes,88.0,1,Urban,Y,6816.0,12.910798122065728,4,547.6296296296297,Low Risk
Male,No,0,Graduate,No,242.0,0,Semiurban,N,12555.375,19.27461346236174,1,990.2627314814815,High Risk
Male,Yes,2,Not Graduate,No,129.0,1,Rural,N,5630.0,22.91296625222025,4,439.3055555555556,Low Risk
Male,Yes,2,Graduate,No,185.0,1,Rural,N,7125.0,25.964912280701753,4,550.925925925926,Medium Risk
Male,No,0,Graduate,No,168.0,1,Urban,Y,5417.0,31.013476093778845,1,412.52777777777777,Medium Risk
Male,No,0,Graduate,Yes,175.0,1,Semiurban,Y,6950.0,25.179856115107913,1,498.1481481481481,Medium Risk
Male,Yes,0,Graduate,No,122.0,1,Semiurban,Y,4732.0,25.78191039729501,2,366.09259259259255,Medium Risk
Male,Yes,2,Graduate,No,187.0,1,Urban,Y,11757.0,15.905418048821979,4,893.1759259259259,Low Risk
Female,Yes,0,Graduate,No,100.0,1,Semiurban,Y,6816.0,14.671361502347418,2,544.8518518518518,Low Risk
Female,Yes,2,Graduate,No,70.0,1,Urban,Y,12555.375,5.575301414732734,4,1030.0775462962963,Low Risk
Male,Yes,1,Graduate,No,30.0,1,Urban,Y,2963.0,10.12487343908201,3,239.9722222222222,Low Risk
Female,No,0,Graduate,No,225.0,1,Rural,N,11666.0,19.286816389507973,1,920.0833333333333,Low Risk
Male,Yes,0,Graduate,No,125.0,1,Semiurban,Y,5690.0,21.968365553602812,2,445.2314814814815,Low Risk
Male,No,0,Graduate,No,118.0,0,Rural,N,6277.0,18.798789230524136,1,495.76851851851853,High Risk
Male,Yes,0,Graduate,Yes,152.0,1,Rural,Y,6327.0,24.024024024024023,2,492.06481481481484,Medium Risk
Male,No,0,Graduate,No,244.0,1,Urban,N,9166.0,26.620117826751034,1,707.3518518518518,Medium Risk
Male,Yes,2,Not Graduate,No,113.0,1,Rural,N,2281.0,49.53967558088557,4,163.92592592592592,Medium Risk
Male,No,0,Graduate,No,50.0,1,Urban,Y,3254.0,15.365703749231715,1,259.5925925925926,Low Risk
Male,Yes,3,Graduate,No,261.5,0,Semiurban,Y,12555.375,20.827733142180143,5,925.2164351851852,High Risk
Male,Yes,1,Graduate,No,160.0,1,Rural,Y,6000.0,26.666666666666668,3,462.962962962963,Medium Risk
Male,Yes,1,Graduate,No,187.0,1,Urban,Y,9538.0,19.605787376808554,3,751.5462962962963,Low Risk
Male,No,0,Graduate,No,120.0,1,Rural,Y,5063.0,23.701362828362633,1,394.1388888888889,Low Risk
Male,Yes,0,Graduate,No,255.0,1,Semiurban,Y,10208.0,24.980407523510973,2,791.6388888888888,Medium Risk
Male,Yes,0,Not Graduate,No,98.0,1,Semiurban,Y,2904.0,33.7465564738292,2,219.3148148148148,Medium Risk
Male,Yes,0,Graduate,No,261.5,1,Urban,N,7933.0,32.96356989789487,2,600.550925925926,Medium Risk
Male,Yes,1,Graduate,No,121.0,0,Semiurban,N,4369.0,27.695124742504007,3,336.0740740740741,High Risk
Male,Yes,2,Graduate,No,158.0,1,Rural,Y,5614.0,28.14392589953687,4,431.25925925925924,Medium Risk
Male,Yes,0,Graduate,No,75.0,1,Urban,Y,9323.0,8.044620830204869,2,742.1944444444445,Low Risk
Male,Yes,0,Graduate,No,182.0,1,Rural,Y,6873.0,26.480430670740578,2,530.6203703703703,Medium Risk
Female,Yes,0,Graduate,No,112.0,1,Rural,N,4583.0,24.43814095570587,2,355.99074074074076,Medium Risk
Male,Yes,0,Graduate,No,129.0,1,Rural,Y,5772.0,22.349272349272347,2,451.1388888888889,Low Risk
Male,No,0,Graduate,No,63.0,0,Semiurban,N,2237.0,28.162717925793473,1,175.47916666666666,High Risk
Male,Yes,2,Graduate,No,200.0,1,Semiurban,Y,8000.0,25.0,4,620.3703703703703,Medium Risk
Male,Yes,0,Not Graduate,No,95.0,1,Rural,Y,3589.0,26.469768737809975,2,277.09259259259255,Medium Risk
Male,Yes,3,Graduate,No,261.5,1,Urban,Y,12555.375,20.827733142180143,5,973.6423611111111,Low Risk
Male,Yes,3,Not Graduate,No,81.0,1,Rural,N,3522.0,22.998296422487225,5,256.0,Low Risk
Male,Yes,0,Graduate,No,187.0,1,Semiurban,Y,11333.0,16.500485308391422,2,901.1296296296296,Low Risk
Male,Yes,0,Not Graduate,Yes,87.0,1,Semiurban,N,5080.0,17.125984251968504,2,403.1944444444444,Low Risk
Male,Yes,0,Graduate,No,116.0,1,Rural,Y,5461.0,21.241530855154732,2,428.23148148148147,Low Risk
Male,Yes,2,Graduate,No,101.0,1,Rural,Y,3664.0,27.565502183406114,4,281.9537037037037,Medium Risk
Male,Yes,3,Graduate,No,261.5,0,Semiurban,N,12555.375,20.827733142180143,5,985.7488425925926,High Risk
Male,Yes,1,Graduate,No,116.0,1,Semiurban,Y,3750.0,30.933333333333334,3,285.64814814814815,Medium Risk
Male,No,0,Not Graduate,No,102.0,0,Urban,N,3784.0,26.955602536997887,1,297.625,High Risk
Male,Yes,1,Graduate,No,180.0,0,Urban,N,12555.375,14.336489352169888,3,1004.6145833333334,High Risk
Male,No,0,Graduate,No,67.0,1,Rural,N,6979.0,9.60022925920619,1,566.0740740740741,Low Risk
Male,Yes,0,Graduate,No,73.0,1,Semiurban,Y,4600.0,15.869565217391306,2,349.537037037037,Low Risk
Male,Yes,1,Graduate,No,260.0,1,Semiurban,N,12555.375,20.708262397578725,3,986.0960648148148,Low Risk
Female,Yes,0,Graduate,No,108.0,1,Semiurban,Y,3625.0,29.79310344827586,2,277.0833333333333,Medium Risk
Male,Yes,0,Graduate,Yes,120.0,1,Semiurban,Y,12555.375,9.557659568113259,2,1018.5034722222222,Low Risk
Male,Yes,1,Graduate,Yes,66.0,0,Rural,N,2178.0,30.303030303030305,3,163.16666666666666,High Risk
Male,Yes,0,Graduate,No,58.0,1,Rural,Y,4521.0,12.829020128290201,2,363.3240740740741,Low Risk
Male,Yes,0,Graduate,Yes,168.0,1,Rural,Y,5970.0,28.14070351758794,2,458.6111111111111,Medium Risk
Male,Yes,0,Graduate,No,188.0,1,Rural,Y,9328.0,20.154373927958837,2,690.2962962962963,Low Risk
Male,No,0,Not Graduate,No,48.0,1,Rural,Y,4885.0,9.825997952917094,1,395.97222222222223,Low Risk
Male,No,0,Graduate,No,164.0,1,Semiurban,N,12000.0,13.666666666666666,1,962.0370370370371,Low Risk
Male,Yes,0,Not Graduate,No,160.0,1,Urban,N,6033.0,26.52080225426819,2,465.712962962963,Medium Risk
Male,No,0,Graduate,No,76.0,1,Semiurban,Y,3858.0,19.699326075686884,1,303.9074074074074,Low Risk
Male,No,0,Graduate,No,120.0,1,Rural,Y,4191.0,28.63278453829635,1,321.47222222222223,Medium Risk
Male,Yes,1,Graduate,No,170.0,1,Semiurban,N,5708.0,29.782761037140855,3,436.31481481481484,Medium Risk
Male,No,0,Graduate,No,187.0,1,Rural,Y,12083.0,15.476289001075891,1,963.6296296296296,Low Risk
Female,No,0,Not Graduate,No,120.0,1,Urban,Y,4272.0,28.089887640449437,1,328.22222222222223,Medium Risk
Female,Yes,0,Graduate,No,113.0,1,Semiurban,Y,6232.0,18.13222079589217,2,493.175925925926,Low Risk
Male,No,0,Graduate,Yes,83.0,1,Urban,N,11000.0,7.545454545454546,1,897.4537037037037,Low Risk
Male,Yes,1,Not Graduate,No,90.0,1,Semiurban,Y,5100.0,17.647058823529413,3,404.1666666666667,Low Risk
Male,No,2,Graduate,No,166.0,0,Semiurban,Y,4923.0,33.719276863701,3,371.8240740740741,High Risk
Male,Yes,3,Not Graduate,No,128.0,1,Urban,N,3992.0,32.06412825651302,5,273.40740740740745,Medium Risk
Male,Yes,1,Not Graduate,No,135.0,1,Urban,Y,4583.0,29.45668775910975,3,350.6666666666667,Medium Risk
Male,Yes,2,Not Graduate,No,124.0,1,Semiurban,Y,3917.0,31.65688026550932,4,297.712962962963,Medium Risk
Female,No,0,Not Graduate,No,120.0,1,Semiurban,Y,4408.0,27.223230490018146,1,339.55555555555554,Medium Risk
Female,No,0,Graduate,No,80.0,1,Urban,Y,3244.0,24.660912453760787,1,251.8148148148148,Medium Risk
Male,No,0,Not Graduate,No,55.0,1,Rural,Y,6506.0,8.453735013833384,1,529.4351851851851,Low Risk
Male,No,0,Graduate,No,59.0,1,Urban,Y,2479.0,23.79991932230738,1,192.92592592592592,Medium Risk
Male,No,0,Graduate,No,127.0,1,Semiurban,N,3418.0,37.15623171445289,1,255.43518518518516,Medium Risk
Female,No,0,Graduate,No,214.0,1,Semiurban,N,10000.0,21.4,1,783.7962962962963,Low Risk
Male,Yes,3,Graduate,No,128.0,0,Semiurban,N,4680.0,27.350427350427353,5,360.3703703703704,High Risk
Male,Yes,1,Graduate,Yes,240.0,1,Urban,Y,7787.0,30.820598433286246,3,593.3611111111111,Medium Risk
Male,Yes,3,Not Graduate,Yes,130.0,1,Rural,Y,5703.0,22.79502016482553,5,445.1574074074074,Low Risk
Male,Yes,0,Graduate,No,137.0,1,Urban,Y,6194.0,22.118178882789795,2,484.4537037037037,Low Risk
Male,Yes,3,Not Graduate,No,100.0,1,Semiurban,Y,4833.0,20.69108214359611,5,379.60185185185185,Low Risk
Male,Yes,0,Graduate,No,135.0,1,Rural,N,1950.0,69.23076923076923,2,131.25,Medium Risk
Male,Yes,0,Graduate,No,131.0,1,Semiurban,Y,5502.0,23.80952380952381,2,428.1759259259259,Medium Risk
Male,Yes,2,Graduate,No,72.0,0,Semiurban,N,5000.0,14.4,4,400.0,High Risk
Female,Yes,2,Graduate,No,127.0,1,Semiurban,Y,6666.0,19.05190519051905,4,526.1018518518518,Low Risk
Male,Yes,0,Graduate,No,60.0,0,Urban,N,2221.0,27.014858171994597,2,171.19444444444446,High Risk
Male,Yes,2,Graduate,No,116.0,1,Semiurban,Y,5726.0,20.258470136220748,4,450.31481481481484,Low Risk
Male,No,0,Graduate,No,144.0,1,Semiurban,Y,5762.0,24.991322457480045,1,446.83333333333337,Medium Risk
Male,Yes,0,Graduate,No,175.0,1,Semiurban,Y,8588.0,20.377270610153705,2,675.1574074074074,Low Risk
Male,Yes,0,Graduate,No,128.0,1,Semiurban,Y,6250.0,20.48,2,491.20370370370375,Low Risk
Male,Yes,0,Graduate,No,170.0,1,Rural,N,3250.0,52.30769230769231,2,231.48148148148147,Medium Risk
Male,Yes,0,Not Graduate,Yes,138.0,1,Urban,N,4735.0,29.144667370644136,2,362.63888888888886,Medium Risk
Male,Yes,2,Graduate,No,210.0,1,Semiurban,Y,7945.0,26.431718061674008,4,613.4722222222223,Medium Risk
Male,Yes,0,Graduate,No,158.0,1,Semiurban,Y,4758.0,33.2072299285414,2,369.06944444444446,Medium Risk
Male,No,0,Graduate,Yes,200.0,1,Rural,Y,6400.0,31.25,1,487.03703703703707,Medium Risk
Male,Yes,1,Graduate,No,104.0,1,Semiurban,Y,4545.0,22.882288228822883,3,354.6759259259259,Low Risk
Male,Yes,0,Graduate,No,42.0,1,Rural,Y,3716.0,11.302475780409042,2,290.22222222222223,Low Risk
Male,No,0,Not Graduate,No,120.0,1,Rural,Y,5787.0,20.73613271124935,1,454.47222222222223,Low Risk
Female,No,0,Graduate,No,261.5,1,Semiurban,Y,8333.0,31.381255250210007,1,633.8842592592592,Medium Risk
Male,Yes,1,Graduate,No,140.0,1,Semiurban,Y,4934.0,28.37454398054317,3,378.7592592592593,Medium Risk
Male,Yes,1,Graduate,No,170.0,1,Rural,Y,6760.0,25.14792899408284,3,523.9814814814815,Medium Risk
